Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,,,#date+year,#indicator+type,#indicator+value+num,,
SGP,2002-05-01,2002-05-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2002,2002,,72.121422,I,base year is 2015
SGP,2003-05-01,2003-05-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2003,2003,,72.121422,I,base year is 2015
SGP,2004-05-01,2004-05-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2004,2004,,74.123567,I,base year is 2015
SGP,2005-05-01,2005-05-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2005,2005,,72.224968,X,base year is 2015
SGP,2006-05-01,2006-05-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2006,2006,,73.609296,X,base year is 2015
SGP,2007-05-01,2007-05-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2007,2007,,75.195328,X,base year is 2015
SGP,2008-05-01,2008-05-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2008,2008,,83.763510,X,base year is 2015
SGP,2009-05-01,2009-05-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2009,2009,,86.226425,X,base year is 2015
SGP,2010-05-01,2010-05-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2010,2010,,88.087411,X,base year is 2015
SGP,2011-05-01,2011-05-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2011,2011,,90.835897,X,base year is 2015
SGP,2012-05-01,2012-05-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2012,2012,,93.293503,X,base year is 2015
SGP,2013-05-01,2013-05-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2013,2013,,95.527112,X,base year is 2015
SGP,2014-05-01,2014-05-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2014,2014,,98.584523,X,base year is 2015
SGP,2015-05-01,2015-05-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2015,2015,,99.624892,X,base year is 2015
SGP,2016-05-01,2016-05-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2016,2016,,102.158934,X,base year is 2015
SGP,2017-05-01,2017-05-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2017,2017,,103.588910,X,base year is 2015
SGP,2018-05-01,2018-05-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2018,2018,,104.515688,X,base year is 2015
SGP,2019-05-01,2019-05-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2019,2019,,105.721667,X,base year is 2015
SGP,2020-05-01,2020-05-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2020,2020,,109.930915,X,base year is 2015
SGP,2021-05-01,2021-05-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2021,2021,,110.601847,X,base year is 2015
SGP,2022-05-01,2022-05-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2022,2022,,115.535107,X,base year is 2015
SGP,2023-05-01,2023-05-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2023,2023,,123.225345,X,base year is 2015
SGP,2000-06-01,2000-06-30,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2000,2000,,70.947522,I,base year is 2015
SGP,2001-06-01,2001-06-30,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2001,2001,,71.953537,I,base year is 2015
SGP,2002-06-01,2002-06-30,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2002,2002,,72.121422,I,base year is 2015
SGP,2003-06-01,2003-06-30,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2003,2003,,71.869618,I,base year is 2015
SGP,2004-06-01,2004-06-30,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2004,2004,,73.422769,I,base year is 2015
